file,terminal_copy_exists,byte_equal
Experts/RamusenEA/RamusenEA.mq5,True,True
Include/RamusenEA/Config.mqh,True,True
Include/RamusenEA/Execution.mqh,True,True
Include/RamusenEA/Market.mqh,True,True
Include/RamusenEA/PositionManager.mqh,True,True
Include/RamusenEA/RiskManager.mqh,True,True
Include/RamusenEA/S30EventGeneratorControlResearch.mqh,True,True
Include/RamusenEA/ScalpingAdaptiveProfitRetentionResearch.mqh,True,True
Include/RamusenEA/ScalpingCandidateS2Research.mqh,True,True
Include/RamusenEA/ScalpingContext.mqh,True,True
Include/RamusenEA/ScalpingControlledLayerResearch.mqh,True,True
Include/RamusenEA/ScalpingEntryGate.mqh,True,True
Include/RamusenEA/ScalpingExcursionResearch.mqh,True,True
Include/RamusenEA/ScalpingProfitRetentionResearch.mqh,True,True
Include/RamusenEA/ScalpingTimeExitResearch.mqh,True,True
Include/RamusenEA/SignalEngine.mqh,True,True
Include/RamusenEA/SignalResearch.mqh,True,True
Include/RamusenEA/TradeDiagnostics.mqh,True,True
Include/RamusenEA/TradeJournal.mqh,True,True
Include/RamusenEA/Types.mqh,True,True
